Shape,A,d,b,t,k(des),k(det),wt./ft.,Ix,Sx,rx,y(bar),Zx,yp,Iy,Sy,ry,x(bar),Zy,xp,Iz,Sz,rz,TAN a,Qs,J,Cw,ro(bar),H
L4X4X7/16,3.3,4,4,0.4375,0.813,0.8125,11.3,4.93,1.73,1.22,1.15,3.1,0.413,4.93,1.73,1.22,1.15,3.1,0.413,1.99,1.22,0.777,1,1,0.22,0.252,2.18,0.63
L4X4X3/8,2.86,4,4,0.375,0.75,0.75,9.8,4.32,1.5,1.23,1.13,2.69,0.358,4.32,1.5,1.23,1.13,2.69,0.358,1.73,1.08,0.779,1,1,0.141,0.162,2.19,0.63
L4X4X5/16,2.4,4,4,0.3125,0.688,0.6875,8.2,3.67,1.27,1.24,1.11,2.26,0.3,3.67,1.27,1.24,1.11,2.26,0.3,1.46,0.936,0.781,1,0.997,0.0832,0.0963,2.21,0.63
L4X4X1/4,1.93,4,4,0.25,0.625,0.625,6.6,3,1.03,1.25,1.08,1.82,0.241,3,1.03,1.25,1.08,1.82,0.241,1.19,0.776,0.783,1,0.912,0.0438,0.0505,2.22,0.63
L4X3-1/2X1/2,3.5,3.5,4,0.5,0.875,0.875,11.9,5.3,1.92,1.23,1.24,3.46,0.5,3.76,1.5,1.04,0.994,2.69,0.438,1.79,1.17,0.716,0.75,1,0.301,0.302,2.03,–
L4X3-1/2X3/8,2.68,3.5,4,0.375,0.75,0.75,9.1,4.15,1.48,1.25,1.2,2.66,0.427,2.96,1.16,1.05,0.947,2.06,0.335,1.39,0.938,0.719,0.755,1,0.132,0.134,2.06,–
L4X3-1/2X5/16,2.25,3.5,4,0.3125,0.688,0.6875,7.7,3.53,1.25,1.25,1.17,2.24,0.4,2.52,0.98,1.06,0.923,1.74,0.281,1.16,0.811,0.721,0.757,0.997,0.0782,0.0798,2.08,–
L4X3-1/2X1/4,1.82,3.5,4,0.25,0.625,0.625,6.2,2.89,1.01,1.26,1.14,1.81,0.36,2.07,0.794,1.07,0.897,1.4,0.228,0.953,0.653,0.723,0.759,0.912,0.0412,0.0419,2.09,–
L4X3X5/8,3.99,3,4,0.625,1,1,13.6,6.01,2.28,1.23,1.37,4.08,0.808,2.85,1.34,0.845,0.867,2.45,0.499,1.59,1.13,0.631,0.534,1,0.529,0.472,1.91,–
L4X3X1/2,3.25,3,4,0.5,0.875,0.875,11.1,5.02,1.87,1.24,1.32,3.36,0.75,2.4,1.1,0.858,0.822,1.99,0.406,1.3,0.927,0.633,0.542,1,0.281,0.255,1.94,–
L4X3X3/8,2.49,3,4,0.375,0.75,0.75,8.5,3.94,1.44,1.26,1.27,2.6,0.68,1.89,0.851,0.873,0.775,1.52,0.311,1,0.705,0.636,0.551,1,0.123,0.114,1.97,–
L4X3X5/16,2.09,3,4,0.3125,0.688,0.6875,7.2,3.36,1.22,1.27,1.25,2.19,0.656,1.62,0.721,0.88,0.75,1.28,0.261,0.849,0.591,0.638,0.554,0.997,0.0731,0.0676,1.98,–
L4X3X1/4,1.69,3,4,0.25,0.625,0.625,5.8,2.75,0.988,1.27,1.22,1.77,0.62,1.33,0.585,0.887,0.725,1.03,0.211,0.692,0.476,0.639,0.558,0.912,0.0386,0.0356,1.99,–
L3-1/2X3-1/2X1/2,3.25,3.5,3.5,0.5,0.875,0.875,11.1,3.63,1.48,1.05,1.05,2.66,0.464,3.63,1.48,1.05,1.05,2.66,0.464,1.51,1.01,0.679,1,1,0.281,0.238,1.87,0.63
L3-1/2X3-1/2X7/16,2.89,3.5,3.5,0.4375,0.813,0.8125,9.8,3.25,1.32,1.06,1.03,2.36,0.413,3.25,1.32,1.06,1.03,2.36,0.413,1.33,0.92,0.681,1,1,0.192,0.164,1.89,0.63
L3-1/2X3-1/2X3/8,2.5,3.5,3.5,0.375,0.75,0.75,8.5,2.86,1.15,1.07,1,2.06,0.357,2.86,1.15,1.07,1,2.06,0.357,1.17,0.821,0.683,1,1,0.123,0.106,1.9,0.63
L3-1/2X3-1/2X5/16,2.1,3.5,3.5,0.3125,0.688,0.6875,7.2,2.44,0.969,1.08,0.979,1.74,0.3,2.44,0.969,1.08,0.979,1.74,0.3,0.984,0.714,0.685,1,1,0.0731,0.0634,1.92,0.63
L3-1/2X3-1/2X1/4,1.7,3.5,3.5,0.25,0.625,0.625,5.8,2,0.787,1.09,0.954,1.41,0.243,2,0.787,1.09,0.954,1.41,0.243,0.802,0.598,0.688,1,0.965,0.0386,0.0334,1.93,0.63
L3-1/2X3X1/2,3.02,3,3.5,0.5,0.875,0.875,10.2,3.45,1.45,1.07,1.12,2.61,0.48,2.32,1.09,0.877,0.869,1.97,0.431,1.15,0.851,0.618,0.713,1,0.26,0.191,1.75,–
L3-1/2X3X7/16,2.67,3,3.5,0.4375,0.813,0.8125,9.1,3.1,1.29,1.08,1.09,2.32,0.449,2.09,0.971,0.885,0.846,1.75,0.381,1.02,0.774,0.62,0.717,1,0.178,0.132,1.76,–
L3-1/2X3X3/8,2.32,3,3.5,0.375,0.75,0.75,7.9,2.73,1.12,1.09,1.07,2.03,0.407,1.84,0.847,0.892,0.823,1.52,0.331,0.894,0.692,0.622,0.72,1,0.114,0.0858,1.78,–
L3-1/2X3X5/16,1.95,3,3.5,0.3125,0.688,0.6875,6.6,2.33,0.951,1.09,1.05,1.72,0.38,1.58,0.718,0.9,0.798,1.28,0.279,0.758,0.602,0.624,0.722,1,0.068,0.0512,1.79,–
L3-1/2X3X1/4,1.58,3,3.5,0.25,0.625,0.625,5.4,1.92,0.773,1.1,1.02,1.39,0.34,1.3,0.585,0.908,0.773,1.04,0.226,0.622,0.487,0.628,0.725,0.965,0.036,0.027,1.8,–
L3-1/2X2-1/2X1/2,2.77,2.5,3.5,0.5,0.875,0.875,9.4,3.24,1.41,1.08,1.2,2.52,0.73,1.36,0.756,0.701,0.701,1.39,0.396,0.781,0.649,0.532,0.485,1,0.234,0.159,1.66,–
L3-1/2X2-1/2X3/8,2.12,2.5,3.5,0.375,0.75,0.75,7.2,2.56,1.09,1.1,1.15,1.96,0.673,1.09,0.589,0.716,0.655,1.07,0.303,0.609,0.496,0.535,0.495,1,0.103,0.0714,1.69,–
L3-1/2X2-1/2X5/16,1.79,2.5,3.5,0.3125,0.688,0.6875,6.1,2.2,0.925,1.11,1.13,1.67,0.636,0.937,0.501,0.723,0.632,0.9,0.256,0.518,0.419,0.538,0.5,1,0.0611,0.0426,1.71,–
L3-1/2X2-1/2X1/4,1.45,2.5,3.5,0.25,0.625,0.625,4.9,1.81,0.753,1.12,1.1,1.36,0.6,0.775,0.41,0.731,0.607,0.728,0.207,0.426,0.34,0.541,0.504,0.965,0.0322,0.0225,1.72,–
L3X3X1/2,2.76,3,3,0.5,0.875,0.875,9.4,2.2,1.06,0.895,0.929,1.91,0.46,2.2,1.06,0.895,0.929,1.91,0.46,0.922,0.703,0.58,1,1,0.23,0.144,1.59,0.63
L3X3X7/16,2.43,3,3,0.4375,0.813,0.8125,8.3,1.98,0.946,0.903,0.907,1.7,0.405,1.98,0.946,0.903,0.907,1.7,0.405,0.817,0.639,0.58,1,1,0.157,0.1,1.6,0.63
L3X3X3/8,2.11,3,3,0.375,0.75,0.75,7.2,1.75,0.825,0.91,0.884,1.48,0.352,1.75,0.825,0.91,0.884,1.48,0.352,0.716,0.57,0.581,1,1,0.101,0.0652,1.62,0.63
